OBJECTID_1,OBJECTID,LOCALIDAD,ORGANIZACI,TIPO_DE_OR,NOMBRE_ENT,ESTADO,DIRECCION,Nomenclatu,TELEFONO,CELULAR,BARRIO,EMAIL,ID_DISCIPL,DESCRIPCIO,UPlCodigo,UPlNombre,LocNombre,LocCodigo
"11","11",Barrios Unidos,Deportiva,Ligas,LIGA DE TEJO DE BOGOTA,A,"Av. 68, Calle 63 - Unidad Deportiva El Salitre",AV 68   63-00,"3290180",N.D.,SAN FERNANDO OCCIDENTAL,ligadetejodebogota@gmail.com,"75",Tejo,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"12","12",Barrios Unidos,Deportiva,Ligas,LIGA DE ESGRIMA DE SANTA FE DE BOGOTA D.C.,A,Av. 68 No. 63-00 - Unidad Deportiva El Salitre,AV 68   63-00 - Unidad Deportiva El Salitre,"2404722",N.D.,SAN FERNANDO OCCIDENTAL,esgrimabogota@yahoo.com,"1",Actividades Subacuaticas,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"13","13",Barrios Unidos,Deportiva,Ligas,LIGA DE GIMNASIA DE SANTA FE DE BOGOTA,A,Av. 68 Calle 63 - Unidad Deportiva El Salitre - Sala De Gimnasia,AV 68  63 - 00 - Unidad Deportiva El Salitre - Sala De Gimnasia,"2317448","2147483647",SAN FERNANDO OCCIDENTAL,ligadegimnasiadebogota@yahoo.es,"38",Gimnasia,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"14","14",Barrios Unidos,Deportiva,Ligas,LIGA DE JUDO DE BOGOTÃ,A,Av. 68 Calle 63 Unidad Deportiva El Salitre,AV 68  63 - 00 Unidad Deportiva El Salitre,"2501007","3165240527",SAN FERNANDO OCCIDENTAL,judobogota@hotmail.com,"44",Judo,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"15","15",Barrios Unidos,Deportiva,Ligas,LIGA DE CICLISMO DE BOGOTA,A,Av. 68 Calle 63 Velodromo Luis Carlos Sarmiento,AV 68  63 - 00 Velodromo Luis Carlos Sarmiento,"2313585",N.D.,SAN FERNANDO OCCIDENTAL,Ligaciclismobogota@yahoo.es,"23",Ciclismo,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"16","16",Teusaquillo,Deportiva,Ligas,LIGA DE PATINAJE DE SANTA FE DE BOGOTA D.C.,A,Coliseo Cubierto el Campin-entrada 17 oficina 05,Coliseo Cubierto el Campin-entrada 17 oficina 05,"2496976","3204446410",CAMPIN OCCIDENTAL,lipatinbogota@yahoo.com,"63",Patinaje,UPZ106,LA ESMERALDA,TEUSAQUILLO,"13"
"17","17",Usaquén,Deportiva,Ligas,LIGA DE MOTOCICLISMO DE SANTA FE DE BOGOTA,A,Carrera 47 No. 131 A-23,KR 47   131 A-23,"5404422","2147483647",PRADO VERANIEGO,limobog@yahoo.com.mex,"54",Motociclismo,UPZ19,EL PRADO,SUBA,"11"
"18","18",Barrios Unidos,Deportiva,Ligas,LIGA DE BOXEO DE SANTA FE DE BOGOTA,A,Av. 68 Calle 63 - Unidad Deportiva El Salitre,AV 68  63 - 00 - Unidad Deportiva El Salitre,"2251282",N.D.,SAN FERNANDO OCCIDENTAL,ligboxbogota@hotmail.com,"18",Boxeo,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"19","19",Rafael Uribe Uribe,Deportiva,Ligas,LIGA DE FUTBOL DE SALON DE BOGOTA DC,A,Calle 32 No. 23B-49 Sur,CL 32   23B-49 Sur,"2094959","3172371513",QUIROGA CENTRAL,presidente.ligafutbol.bogota@hotmail.com,"37",Futbol Sala,UPZ39,QUIROGA,RAFAEL URIBE URIBE,"18"
"20","20",Barrios Unidos,Deportiva,Ligas,LIGA DE BEISBOL DE SANTA FE DE BOGOTA,A,Av. 68 No. 55-45 Unidad Deportiva el Salitre- Estadio de Beisbol Hermes Barros Cabas,AV 68   55-45 Unidad Deportiva el Salitre- Estadio de Beisbol Hermes Barros Cabas,"6369765","3124481720",SAN FERNANDO OCCIDENTAL,jfmpetro@cable.net.co,"15",Beisbol,UPZ22,DOCE DE OCTUBRE,BARRIOS UNIDOS,"12"
"21","21",Barrios Unidos,Deportiva,Ligas,LIGA DE KARATE DO DE BOGOTA D.C -LKB,A,Av. 68 Calle 63 Unidad Deportiva el Salitre,AV 68  63 - 00 Unidad Deportiva el Salitre,"6606256","3158588172",SAN FERNANDO OCCIDENTAL,ligakaratebogota@yahoo.com,"45",Karate Do,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"22","22",Barrios Unidos,Deportiva,Ligas,"LIGA DE SOFTBOL DE BOGOTA, DC",A,Av. 68 No. 55-45 Unidad Deportiva el Salitre- Estadio Internacional de Softbol el Salitre,AV 68   55-45 Unidad Deportiva el Salitre- Estadio Internacional de Softbol el Salitre,N.D.,"3108611940",SAN FERNANDO OCCIDENTAL,ligasoftbolbogota@gmail.com,"69",Softbol,UPZ22,DOCE DE OCTUBRE,BARRIOS UNIDOS,"12"
"23","23",Barrios Unidos,Deportiva,Ligas,LIGA DE VOLEIBOL DE SANTA FE DE BOGOTA,A,Av. 68 Calle 63 Unidad Deportiva el Salitre,AV 68  63 - 00 Unidad Deportiva el Salitre,"2258291","3132028631",SAN FERNANDO OCCIDENTAL,ligavoleibolbogota@hotmail.com,"85",Voleibol,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"24","24",Barrios Unidos,Deportiva,Ligas,LIGA DE TAEKWONDO DE SANTA FE DE BOGOTA,A,Calle 63 B No. 27 B - 70,CL 63 B   27 B - 70,"2556491","3152539398",BENJAMIN HERRERA,tkdligadebogota@yahoo.es,"72",Taekwondo,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"25","25",Engativá,Deportiva,Ligas,"LIGA DE DEPORTES DE LIMITADOS VISUALES DE SANTA FE DE BOGOTA ""LDLV""",A,Carrera 109 A No.71 B-65,KR 109 A  71 B-65,"6958645",N.D.,VILLA AMALIA,madeyaca1109@gmail.com,"50",Limitacion Visual,UPZ73,GARCES NAVAS,ENGATIVA,"10"
"26","26",Usaquén,Deportiva,Ligas,LIGA DE VELA DE SANTA FE DE BOGOTA,A,Carrera 12 No.138-85 Oficina 403,KR 12  138-85 Oficina 403,"2873037","3124208313",CEDRITOS,nespa57@hotmail.com,"84",Vela,UPZ13,LOS CEDROS,USAQUEN,"01"
"27","27",Kennedy,Deportiva,Ligas,LIGA DE DEPORTES DE SORDOS DE BOGOTA,A,Carrera 69 No.8-41,KR 69  8-41,"4143159","3123457379",MARCELLA,lisorbog@hotmail.com,"70",Sordos,UPZ113,BAVARIA,KENNEDY,"08"
"28","28",Rafael Uribe Uribe,Deportiva,Otros,CLUB DEPORTIVO OLAYA HERRERA,A,Calle 26 Sur No. 19-49,CL 26 Sur   19-49,"3720140","3153251070",OLAYA,jeparrar@hotmail.com,"35",Futbol,UPZ39,QUIROGA,RAFAEL URIBE URIBE,"18"
"29","29",Chapinero,Deportiva,Otros,CLUB DE TIRO DE BOGOTA,A,Calle 94 No 15 - 32 Oficina 605,CL 94  15 - 32 Oficina 605,"6215185","3112375101",CHICO NORTE,clubdetirobog@gmail.com,"79",Tiro Deportivo,UPZ97,CHICO LAGO,CHAPINERO,"02"
"30","30",Usaquén,Deportiva,Otros,CLUB CAZADORES DE LOS ANDES,A,Carrera 7 No. 121-20 Oficina 157,KR 7   121-20 Oficina 157,"6570738","3123973363",CENTRO NORTE USAQUEN,info@cazandes.com,"80",Tiro Y Caza,UPZ14,USAQUEN,USAQUEN,"01"
"31","31",Usaquén,Deportiva,Ligas,LIGA ECUESTRE DE SANTA FE DE BOGOTA,A,Carrera 7 No.150-21 oficina 201,KR 7  150-21 oficina 201,"6251066","3103346951",CEDRO SALAZAR,ligaecuestredebogota@gmail.com,"31",Equitación,UPZ13,LOS CEDROS,USAQUEN,"01"
"32","32",Chapinero,Deportiva,Otros,CLUB NAUTICO HANSA,A,Calle 100 No.22-30 Apto 101,CL 100  22-30 Apto 101,"2364271","3176579965",CHICO NORTE III SECTOR,consultoresbylsas@gmail.com,"55",Motonautica,UPZ16,SANTA BARBARA,USAQUEN,"01"
"33","33",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO DE EMPLEADOS DISTRITALES,A,Av. Carrera 24 No.57-93,AV KR 24  57-93,"2104299","3214691459",EL CAMPIN,nuestroclub@clubdistrital.com,"77",Tenis,UPZ100,GALERIAS,TEUSAQUILLO,"13"
"34","34",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO DE KARATE DO CHRYSLER COLMOTORES,A,Av. 68 Calle 63 UDS,AV 68  63 - 00 UDS,"5430305","3102483028",SAN FERNANDO OCCIDENTAL,vanalza1@hotmail.com,"45",Karate Do,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"35","35",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO DE KARATE DO NARA,A,Av. 68 Calle 63 UDS,AV 68  63 - 00 UDS,"6606252","3102036512",SAN FERNANDO OCCIDENTAL,serviciostalmedltda@gmail.com,"45",Karate Do,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"36","36",Rafael Uribe Uribe,Deportiva,Clubes,CLUB DEPORTIVO CENTENARIO,A,Av. Primero de Mayo No.22-03 piso 2,AV Primero de Mayo  22-03 piso 2,N.D.,"3202430419",RESTREPO,danimero1@hotmail.com,"35",Futbol,UPZ38,RESTREPO,ANTONIO NARIÑO,"15"
"37","37",Fontibón,Deportiva,Clubes,CLUB DEPORTIVO NUESTRA SEÃ‘ORA DEL LUJAN,A,Carrera 123 No.15-60,KR 123  15-60,"4910014","3125835099",EL CHARCO,club.deportivolujan@hotmail.com,"35",Futbol,UPZ77,ZONA FRANCA,FONTIBON,"09"
"38","38",Rafael Uribe Uribe,Deportiva,Clubes,CLUB DEPORTIVO FALCON,A,Carrera 30 NÂ° 41-65 Sur,KR 30   41-65 Sur,"8054540","3142990136",INGLES,NA,"6",Atletismo,UPZ39,QUIROGA,RAFAEL URIBE URIBE,"18"
"39","39",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO KIWANIS,I,Calle 127 B No.7-67,CL 127 B  7-67,"2582814","3114405317",BELLA SUIZA,N.D.,"59",No Obra,UPZ14,USAQUEN,USAQUEN,"01"
"40","40",Usaquén,Deportiva,Clubes,CLUB SALTAMONTES CUATRO POR CUATRO,A,Carrera 102 A No.25 H-45 Oficina 206,KR 102 A  25 H-45 Oficina 206,"4188000","3102147960",SAN JOSE DE LAS PISTAS,saltamontes4x4@gmail.com,"9",Automovilismo,UPZ115,CAPELLANIA,FONTIBON,"09"
"41","41",Engativá,Deportiva,Clubes,CLUB DEPORTIVO DANE DE KARATE-DO,A,Calle 63 Carrera 68 UDS,AV 68  63 - 00 UDS,N.D.,"3187955470",BOSQUE POPULAR,clubdanekaratedo@gmail.com,"45",Karate Do,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"42","42",Suba,Deportiva,Clubes,CLUB DEPORTIVO LA GAITANA,A,Calle 142A No 113 C - 51 Bloque 5 Apto. 318,CL 142A  113 C - 51 Bloque 5 Apto. 318,"6879982","3203405686",PUERTA DEL SOL,gaitanafutbol@hotmail.com,"35",Futbol,UPZ28,EL RINCON,SUBA,"11"
"43","43",Fontibón,Deportiva,Clubes,CLUB DEPORTIVO ATLETICO ADES MASTER,A,Calle 25 G No.85H-51 casa 55,CL 25 G  85H-51 casa 55,"3008321","3107564585",MODELIA,nediaz40@hotmail.com,"6",Atletismo,UPZ114,MODELIA,FONTIBON,"09"
"44","44",Suba,Deportiva,Clubes,CLUB DEPORTIVO THE WINNERS,A,Calle 131 C No.90 -15,CL 131 C  90 -15,"5363542","3202811462",LOS NARANJOS,clubthewinners@gmail.com,"38",Gimnasia,UPZ28,EL RINCON,SUBA,"11"
"45","45",Chapinero,Deportiva,Clubes,CLUB DEPORTIVO RINCON ECUESTRE,I,Carrera 7 No.72-64,KR 7  72-64,N.D.,N.D.,BELLAVISTA,NA,"29",Ecuestre,UPZ88,EL REFUGIO,CHAPINERO,"02"
"46","46",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO ACADEMIA BOGOTANA DE FUTBOL,A,Carrera 15 NÂ° 31B-09,KR 15   31B-09,"2875701","3104342855",N.D.,dibogotanadefutbol@hotmail.com,"35",Futbol,UPZ101,TEUSAQUILLO,TEUSAQUILLO,"13"
"47","47",Puente Aranda,Deportiva,Clubes,CLUB DEPORTIVO DE KARATE DO ACUEDUCTO,A,Carrera 53 B No.4 C-69,KR 53 B  4 C-69,"20206473","2147483647",COLON,deiseyer@gmail.com,"45",Karate Do,UPZ43,SAN RAFAEL,PUENTE ARANDA,"16"
"48","48",Teusaquillo,Deportiva,Clubes,CLUB ATLETICO MASTER PARQUE EL LAGO,A,Carrera 30 No.63D-16,KR 30  63D-16,"3475976",N.D.,BENJAMIN HERRERA,clubellago@gmail.com,"6",Atletismo,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"49","49",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO ESTRELLA ROJA,A,Carrera 53 No. 53-41 Bloque B2 Apto 417,KR 53   53-41 Bloque B2 Apto 417,"3153740","2147483647",PABLO VI NORTE,clubestrellaroja1985@hotmail.com,"35",Futbol,UPZ106,LA ESMERALDA,TEUSAQUILLO,"13"
"50","50",Kennedy,Deportiva,Clubes,CLUB DE KARATE DO RESTREPO MILLAN,A,Calle 99 No.10-19 piso 2,CL 99  10-19 piso 2,"2960900",N.D.,CHICO NORTE,jheredia@rcntv.com.co,"45",Karate Do,UPZ97,CHICO LAGO,CHAPINERO,"02"
"51","51",Puente Aranda,Deportiva,Clubes,CLUB DEPORTIVO SAETA,A,Carrera 64 No.5A-69,KR 64  5A-69,"4200800","3208546872",LA PRADERA,contabilidad@saetasport.com,"35",Futbol,UPZ43,SAN RAFAEL,PUENTE ARANDA,"16"
"52","52",Chapinero,Deportiva,Clubes,CLUB DE ULTRALIVIANOS LA LIBELULA,A,Carrera 19 B No.82-36,KR 19 B  82-36,"2577128","3133636271",ANTIGUO COUNTRY,clublibelula@hotmaiol.com,"25",Deportes Aéreos,UPZ97,CHICO LAGO,CHAPINERO,"02"
"53","53",Fontibón,Deportiva,Clubes,CLUB DE ATLETISMO MASTER FALCON,A,Calle 24 No.69 A-53,CL 24  69 A-53,"7526496",N.D.,CIUDAD SALITRE,NA,"6",Atletismo,UPZ110,CIUDAD SALITRE OCCIDENTAL,FONTIBON,"09"
"54","54",Suba,Deportiva,Clubes,CLUB DEPORTIVO CICLO SUBA,A,Calle 140 A No.108 A-15,CL 140 A  108 A-15,"6873830",N.D.,LAS FLORES,ciclosuba2014@gmail.com,"23",Ciclismo,UPZ28,EL RINCON,SUBA,"11"
"55","55",Chapinero,Deportiva,Clubes,CLUB DE MONTAÃ‘ISMO AMERICA EXTREMO,A,Carrera 13 No.67-26,KR 13  67-26,"3217282",N.D.,FLORES,club.america.extremo@gmail.com,"53",Montañismo y  Escalada,UPZ97,CHICO LAGO,CHAPINERO,"02"
"56","56",Fontibón,Deportiva,Ligas,LIGA DE ACTIVIDADES SUBACUATICAS DE BOGOTA,A,Calle 35 A No.80-31 Apto 201,CL 35 A  80-31 Apto 201,"4220370","3108685292",SANTA CECILIA NORTE RURAL,jmlibia@hotmail.com,"1",Actividades Subacuaticas,UPZ114,MODELIA,FONTIBON,"09"
"57","57",Teusaquillo,Deportiva,Fundaciones,FUNDACION COLOMBIANA DE TIEMPO LIBRE Y RECREACION FUNLIBRE,A,Carrera 57A No. 44A - 06,KR 57A   44A - 06,"3002340","2147483647",EL SALITRE,ealopezl@outlook.com,"56",Multidisciplinas,UPZ106,LA ESMERALDA,TEUSAQUILLO,"13"
"58","58",Barrios Unidos,Deportiva,Federaciones,FEDERACION DEPORTIVA DEL NORTE - FEDENORTE,I,Carrera 17 No.67-60,KR 17  67-60,N.D.,N.D.,RAFAEL URIBE,NA,"35",Futbol,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"59","59",Teusaquillo,Deportiva,Asociaciones,ASOCIACION SCOUTS DE COLOMBIA,A,Calle 58 No. 16 A - 11,CL 58   16 A - 11,"7035060","2147483647",CHAPINERO OCCIDENTAL,sedescoutnacional@hotmail.com,"56",Multidisciplinas,UPZ100,GALERIAS,TEUSAQUILLO,"13"
"60","60",Barrios Unidos,Deportiva,Asociaciones,ASOCIACION DE GUIAS SCOUTS DE COLOMBIA,A,Av. Caracas No. 69 - 74 Piso 9,AV Caracas   69 - 74 Piso 9,"2554413","3104753551",CONCEPCION NORTE,guiascol1@yahoo.com,"56",Multidisciplinas,UPZ97,CHICO LAGO,CHAPINERO,"02"
"61","61",Engativá,Deportiva,Asociaciones,ASOCIACION COLOMBIANA DE CICLISMO SENIOR MASTER,A,Unidad Deportiva El Salitre - Velodromo Luis Carlos Galan,AV 68 55 - 45,"2704747","106189375",BOSQUE POPULAR,grupomartti@hotmail.com,"23",Ciclismo,UPZ22,DOCE DE OCTUBRE,BARRIOS UNIDOS,"12"
"62","62",Engativá,Deportiva,Clubes,CLUB DEPORTIVO ESCUELA COLOMBIANA DE TRIATLON,A,Carrera 83 A No.75-50 casa 305 Conjunto quintas de la 80,KR 83 A  75-50 casa 305 Conjunto quintas de la 80,"4405072",N.D.,LA SOLEDAD NORTE (LA GRANJAII),escuelacolombianadetriathlon@yahoo.com,"83",Triathlon,UPZ30,BOYACA REAL,ENGATIVA,"10"
"63","63",Chapinero,Deportiva,Asociaciones,ASOCIACION DE GOLFISTAS SENIOR DE COLOMBIA,A,Calle 93 No. 14 - 20 Oficina 703,CL 93   14 - 20 Oficina 703,"2578165","3112294973",CHICO NORTE,asosenior@asosenior.net,"39",Golf,UPZ97,CHICO LAGO,CHAPINERO,"02"
"64","64",Teusaquillo,Deportiva,Asociaciones,ASOCIACION COLOMBIANA DE ATLETISMO MASTER - ATLEMASTER,A,Calle 27 A NÂ° 25 - 18,CL 27 A   25 - 18,"2873037","2147483647",ESTRELLA,atlemaster25@hotmail.com,"6",Atletismo,UPZ101,TEUSAQUILLO,TEUSAQUILLO,"13"
"65","65",Puente Aranda,Deportiva,Asociaciones,ASOCIACION CLUB DEPORTIVO AUTOMOTOR,I,Transversal 55 No. 18 a 16 sur,TV 55   18 a 16 sur,"2241192",N.D.,MIlenta,NA,"9",Automovilismo,UPZ43,SAN RAFAEL,PUENTE ARANDA,"16"
"66","66",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO LOS EMBAJADORES,A,Calle 140 No. 11 58,CL 140   11 58,"2593520","3134702086",CEDRITOS,brandalejandro@hotmail.com,"35",Futbol,UPZ13,LOS CEDROS,USAQUEN,"01"
"67","67",Puente Aranda,Deportiva,Asociaciones,ASOCIACION CRISTIANA DEPORTIVA,A,Carrera 38 A No.1C 11,KR 38 A  1C 11,"7270795","3132094308",VILLA INES,acd@acdeportiva.com,"35",Futbol,UPZ40,CIUDAD MONTES,PUENTE ARANDA,"16"
"68","68",Fontibón,Deportiva,Clubes,CLUB SOCIAL Y DEPORTIVO LA ESPERANZA,I,Carrera 72 B No. 24 63,KR 72 B   24 63,"2633743",N.D.,MODELIA,NA,"15",Beisbol,UPZ114,MODELIA,FONTIBON,"09"
"69","69",Teusaquillo,Deportiva,Clubes,CORPORACION CLUB TENIS EL CAMPIN,A,Diagonal 61C No 26 - 35,DG 61C  26 - 35,"2121266","3167425791",EL CAMPIN,ctc.admon@etb.net.co,"77",Tenis,UPZ100,GALERIAS,TEUSAQUILLO,"13"
"70","70",Chapinero,Deportiva,Clubes,CLUB DE BRIDGE ALMIRANTE COLON,I,Carrera 16 NÂ° 84 A 09,KR 16   84 A 09,"6217676",N.D.,ANTIGUO COUNTRY,GERENCIACLUBDEBRIDGE@GMAIL.COM,"19",Bridge,UPZ97,CHICO LAGO,CHAPINERO,"02"
"71","71",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO Y RECREATIVO PARA LA DISCAPACIDAD MENTAL RENACER,A,Avenida calle 80 No 62 84 apto 410,AV CL 80  62 84 apto 410,"6405218","3102689243",SIMON BOLIVAR,N/A,"27",Disc. Cognitiva,UPZ21,LOS ANDES,BARRIOS UNIDOS,"12"
"72","72",Barrios Unidos,Deportiva,Comites,COMITE PARALIMPICO COLOMBIANO,A,Calle 63 No. 47-06 Centro De Alto Rendimiento,CL 63   47-06 Centro De Alto Rendimiento,"2319729","3114401500",CLUB DE EMPLEADOS,servicioalcliente@cpccolombia.org,"28",Disc. Físicos,UPZ104,PARQUE SIMON BOLIVAR - CAN,TEUSAQUILLO,"13"
"73","73",Usaquén,Deportiva,Asociaciones,ASOCIACION LA CIMA CLUB DE GOLF,A,Calle 109 No 19 - 36 Oficina 301,CL 109  19 - 36 Oficina 301,"6294150","3162260332",SAN PATRICIO,alcm@etb.net.co,"39",Golf,UPZ16,SANTA BARBARA,USAQUEN,"01"
"74","74",Tunjuelito,Deportiva,Asociaciones,"ASOCIACION DE CICLISMO SENIOR MASTER DE SANTA FE BOGOTA, DC",A,Calle 54 No 28 95 sur,CL 54  28 95 sur,"3290351","3106189375",San Vicente Ferrer,ciclomasterbogota@hotmail.com,"23",Ciclismo,UPZ42,VENECIA,TUNJUELITO,"06"
"75","75",Teusaquillo,Deportiva,Asociaciones,ASOCIACION SCOUTS DE COLOMBIA REGIÃ“N BOGOTÃ,A,Calle 34 No 28-33,CL 34  28-33,"2321564","3124778752",FLORIDA - PANAMERICANO,regbogota@yahoo.es,"66",Recreativos,UPZ101,TEUSAQUILLO,TEUSAQUILLO,"13"
"76","76",Teusaquillo,Deportiva,Ligas,LIGA BOGOTANA DE TIRO DEPORTIVO,A,Carrera 60 No 63 - 65,KR 60  63 - 65,"6600200","3103080713",PARQUE DISTRITAL SALITRE,LIGADETIROBOGOTA@YAHOO.COM,"79",Tiro Deportivo,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"77","77",Engativá,Deportiva,Ligas,LIGA DE TRIATHLON DE BOGOTA,A,Carrera 83A N 75 50,KR 83A N 75 50,N.D.,"3045640136",LA SOLEDAD NORTE,TRIBOGOTA@HOTMAIL.COM,"83",Triathlon,UPZ30,BOYACA REAL,ENGATIVA,"10"
"78","78",Los Mártires,Deportiva,Asociaciones,ASOCIACION CLUB DEPORTIVO MALTA MEREY JALEA,A,Avenida Caracas NÂ°10-45,AV Caracas  10-45,"3331437","3138902216",VOTO NACIONAL,cuevas.william@hotmail.com,"83",Triathlon,UPZ93,LAS NIEVES,SANTA FE,"03"
"79","79",Engativá,Deportiva,Ligas,LIGA DE FISICOCULTURISMO DE BOGOTA DC,A,Calle 72 No. 69C-30 Piso 3,CL 72   69C-30 Piso 3,"2311614","3114431932",N.D.,fisiligabogota@gmail.com,"34",Fisicoculturismo,UPZ26,LAS FERIAS,ENGATIVA,"10"
"80","80",Suba,Deportiva,Ligas,LIGA DE LUCHA DE SANTA FE DE BOGOTA,A,Carrera 69 C No 96 - 17,KR 69 C  96 - 17,N.D.,"3183306733",LA FLORESTA RESERVADA,JONBENITEZ@hotmail.com,"51",Lucha,UPZ25,LA FLORESTA,SUBA,"11"
"81","81",Engativá,Deportiva,Ligas,LIGA DE TENIS DE MESA DE SANTA FE DE BOGOTA,A,Av. 68 Calle 63 UDS,AV 68  63 - 00 UDS,"2821685","3165082597",BELLAVISTA,samirfernandoesquivel73@hotmail.com,"78",Tenis De Mesa,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"82","82",Teusaquillo,Deportiva,Clubes,CORPORACION CLUB DEPORTIVO ISS CAN,I,Av. 26 No 50 60,AV 26  50 60,"2221349",N.D.,CENTRO ADMINISTRATIVO OCCIDENTAL,NA,"24",Deporte Aficionado,UPZ104,PARQUE SIMON BOLIVAR - CAN,TEUSAQUILLO,"13"
"83","83",Chapinero,Deportiva,Clubes,CLUB DEPORTIVO Y SOCIAL EL PATRIARCA,I,Carrera 13 No 53 32,KR 13  53 32,"2499910",N.D.,BOSQUE CALDERON 3,NA,"16",Billar,UPZ99,CHAPINERO,CHAPINERO,"02"
